Source,Target,Type,id,label,timeset,weight,net_exp
Argentina,Brazil,Undirected,14,,,0.009999999776482582,53426.31
Argentina,Chile,Undirected,16,,,0.03999999910593033,202082.1
Argentina,China,Undirected,17,,,0.10000000149011612,440195.7
Argentina,Egypt,Undirected,22,,,0.029999999329447746,152636.4
Argentina,France,Undirected,23,,,0.009999999776482582,33628.16
Argentina,India,Undirected,26,,,0.38999998569488525,1821244
Argentina,KoreaRepublicof,Undirected,30,,,0.019999999552965164,92520.17
Argentina,Malaysia,Undirected,31,,,0.009999999776482582,63168.12
Argentina,Mexico,Undirected,32,,,0.009999999776482582,29276.06
Argentina,Mozambique,Undirected,34,,,0.009999999776482582,57060.48
Argentina,Netherlands,Undirected,35,,,0.019999999552965164,78587.66
Argentina,Spain,Undirected,39,,,0.009999999776482582,50160.57
Argentina,UnitedStates,Undirected,43,,,0.019999999552965164,107744.3
Australia,China,Undirected,48,,,0.009999999776482582,40005.09
Australia,ChinaTaiwanProvince,Undirected,50,,,0.009999999776482582,31053.79
Australia,Singapore,Undirected,68,,,0.03999999910593033,170858.2
Azerbaijan,Iraq,Undirected,95,,,0.019999999552965164,101477.3
Belarus,Lithuania,Undirected,117,,,0.009999999776482582,51567.78
Belgium,Sweden,Undirected,164,,,0.009999999776482582,43584.07
Belgium,UnitedKingdom,Undirected,172,,,0.009999999776482582,28864.84
Bolivia,Colombia,Undirected,182,,,0.03999999910593033,173805.2
Bolivia,Ecuador,Undirected,183,,,0.019999999552965164,80571.38
BosniaandHerzegovina,Turkey,Undirected,196,,,0.009999999776482582,62488.61
Brazil,China,Undirected,204,,,0.03999999910593033,203875.7
Brazil,Germany,Undirected,209,,,0.009999999776482582,50781.94
Brazil,India,Undirected,212,,,0.11999999731779099,552782.6
Brazil,Japan,Undirected,215,,,0.009999999776482582,34158.21
Brazil,Netherlands,Undirected,222,,,0.009999999776482582,28669.57
Brazil,UnitedStates,Undirected,237,,,0.009999999776482582,39456.8
Bulgaria,Greece,Undirected,246,,,0.009999999776482582,43111.84
Bulgaria,SouthAfrica,Undirected,256,,,0.009999999776482582,32648.06
Bulgaria,Spain,Undirected,257,,,0.009999999776482582,24849.79
Bulgaria,TFYRofMacedonia,Undirected,258,,,0.009999999776482582,28742.41
Canada,Chile,Undirected,297,,,0.009999999776482582,27195.73
Canada,China,Undirected,298,,,0.09000000357627869,400353.4
Canada,ChinaHongKongSAR,Undirected,299,,,0.009999999776482582,40968.96
Canada,Japan,Undirected,313,,,0.009999999776482582,52960.91
Canada,KoreaRepublicof,Undirected,315,,,0.019999999552965164,86574.58
Canada,Mexico,Undirected,318,,,0.019999999552965164,84070.23
Canada,UnitedStates,Undirected,333,,,0.27000001072883606,1239445
China,Chile,Undirected,392,,,0.009999999776482582,50883.82
China,ChinaHongKongSAR,Undirected,393,,,0.009999999776482582,41804.84
China,Japan,Undirected,409,,,0.009999999776482582,32856.05
China,KoreaDemPeoples,Undirected,412,,,0.019999999552965164,103874.5
China,UnitedKingdom,Undirected,428,,,0.009999999776482582,30254.74
China,UnitedStates,Undirected,429,,,0.009999999776482582,42094.46
Colombia,Mexico,Undirected,439,,,0.009999999776482582,42352.5
Colombia,Netherlands,Undirected,440,,,0.019999999552965164,88452.13
CostaRica,Mexico,Undirected,448,,,0.009999999776482582,25079.28
CotedIvoire,Mali,Undirected,459,,,0.009999999776482582,48677.34
CotedIvoire,Nigeria,Undirected,463,,,0.019999999552965164,79879.6
CotedIvoire,Senegal,Undirected,465,,,0.009999999776482582,37619.35
CotedIvoire,Togo,Undirected,466,,,0.009999999776482582,26383.13
CzechRepublic,Austria,Undirected,479,,,0.019999999552965164,87191.06
Denmark,Norway,Undirected,516,,,0.029999999329447746,152081.3
Denmark,Sweden,Undirected,522,,,0.019999999552965164,108697.1
Denmark,UnitedKingdom,Undirected,528,,,0.009999999776482582,37784.39
Ecuador,Colombia,Undirected,543,,,0.019999999552965164,84168
Egypt,Jordan,Undirected,562,,,0.009999999776482582,25584.26
France,Belgium,Undirected,611,,,0.019999999552965164,77007.03
France,UnitedKingdom,Undirected,665,,,0.029999999329447746,150731.8
France,UnitedStates,Undirected,666,,,0.009999999776482582,24206.44
Germany,Belgium,Undirected,684,,,0.009999999776482582,43439.27
Germany,Denmark,Undirected,694,,,0.029999999329447746,148855.7
Germany,Egypt,Undirected,696,,,0.009999999776482582,67390.48
Germany,France,Undirected,699,,,0.009999999776482582,32572.41
Germany,Morocco,Undirected,718,,,0.029999999329447746,138852
Germany,Norway,Undirected,722,,,0.009999999776482582,42253.44
Germany,Poland,Undirected,724,,,0.05000000074505806,241716.3
Germany,Sweden,Undirected,733,,,0.009999999776482582,27157.19
Germany,Switzerland,Undirected,734,,,0.009999999776482582,42754.68
Germany,UnitedKingdom,Undirected,742,,,0.009999999776482582,60674.92
Greece,Germany,Undirected,783,,,0.009999999776482582,33939.57
Greece,Italy,Undirected,788,,,0.10000000149011612,479851.5
Greece,Spain,Undirected,800,,,0.009999999776482582,28831.21
Greece,UnitedStates,Undirected,808,,,0.009999999776482582,34535.7
Guatemala,ElSalvador,Undirected,813,,,0.009999999776482582,39299.85
Guatemala,Mexico,Undirected,816,,,0.029999999329447746,121339.2
Guatemala,Netherlands,Undirected,817,,,0.019999999552965164,95007.68
Honduras,ElSalvador,Undirected,832,,,0.009999999776482582,44799.09
Honduras,Germany,Undirected,834,,,0.009999999776482582,33213.01
Honduras,Mexico,Undirected,836,,,0.019999999552965164,99718.05
Honduras,Netherlands,Undirected,837,,,0.019999999552965164,93829.21
Hungary,Germany,Undirected,851,,,0.009999999776482582,66470.84
Hungary,Netherlands,Undirected,860,,,0.019999999552965164,112526.4
Iceland,Norway,Undirected,879,,,0.009999999776482582,36121.57
India,China,Undirected,892,,,0.05999999865889549,284064.3
India,France,Undirected,899,,,0.009999999776482582,57059.46
India,Japan,Undirected,905,,,0.009999999776482582,56321.04
India,Netherlands,Undirected,915,,,0.019999999552965164,114715.2
India,UnitedKingdom,Undirected,934,,,0.009999999776482582,25346.75
India,UnitedStates,Undirected,935,,,0.019999999552965164,102018.9
