Source,Target,Type,id,label,timeset,weight,net_exp
China,Canada,Undirected,2213,,,0.05000000074505806,1.36e+07
China,ChinaHongKongSAR,Undirected,2215,,,0.17000000178813934,5.11e+07
China,ChinaMacaoSAR,Undirected,2216,,,0.009999999776482582,4403038
China,Colombia,Undirected,2217,,,0.019999999552965164,5650111
China,CzechRepublic,Undirected,2225,,,0.019999999552965164,6391471
China,Denmark,Undirected,2226,,,0.009999999776482582,2897031
China,Djibouti,Undirected,2227,,,0.009999999776482582,1985127
China,Ecuador,Undirected,2229,,,0.009999999776482582,2170739
China,Egypt,Undirected,2230,,,0.03999999910593033,1.16e+07
China,Ethiopia,Undirected,2233,,,0.009999999776482582,3096187
China,France,Undirected,2236,,,0.019999999552965164,5466138
China,Ghana,Undirected,2240,,,0.019999999552965164,4426088
China,Greece,Undirected,2242,,,0.009999999776482582,3410600
China,Guatemala,Undirected,2244,,,0.009999999776482582,1864908
China,Hungary,Undirected,2249,,,0.009999999776482582,3401351
China,India,Undirected,2251,,,0.17000000178813934,4.87e+07
China,Indonesia,Undirected,2252,,,0.07000000029802322,1.92e+07
China,Israel,Undirected,2254,,,0.019999999552965164,5460607
China,Italy,Undirected,2255,,,0.05999999865889549,1.63e+07
China,Japan,Undirected,2257,,,0.09000000357627869,2.66e+07
China,Jordan,Undirected,2258,,,0.009999999776482582,3262250
China,Kazakhstan,Undirected,2259,,,0.009999999776482582,1694111
China,Kenya,Undirected,2260,,,0.019999999552965164,5835418
China,Kyrgyzstan,Undirected,2262,,,0.009999999776482582,4223252
China,Lebanon,Undirected,2265,,,0.009999999776482582,2263210
China,Luxembourg,Undirected,2270,,,0.009999999776482582,2030509
China,Malaysia,Undirected,2273,,,0.05999999865889549,1.81e+07
China,Malta,Undirected,2275,,,0.009999999776482582,2218512
China,MarshallIslands,Undirected,2276,,,0.009999999776482582,3370364
China,Mexico,Undirected,2279,,,0.10000000149011612,2.89e+07
China,Morocco,Undirected,2281,,,0.009999999776482582,2607645
China,Mozambique,Undirected,2282,,,0.009999999776482582,1575860
China,Myanmar,Undirected,2283,,,0.029999999329447746,9025337
China,Netherlands,Undirected,2287,,,0.17000000178813934,4.89e+07
China,Nigeria,Undirected,2290,,,0.03999999910593033,1.26e+07
China,Pakistan,Undirected,2291,,,0.05000000074505806,1.45e+07
China,Panama,Undirected,2293,,,0.029999999329447746,7785101
China,Philippines,Undirected,2296,,,0.07000000029802322,2.03e+07
China,Poland,Undirected,2297,,,0.03999999910593033,1.23e+07
China,Portugal,Undirected,2298,,,0.009999999776482582,1966620
China,Romania,Undirected,2300,,,0.009999999776482582,2604954
China,RussianFederation,Undirected,2301,,,0.019999999552965164,6474950
China,Senegal,Undirected,2308,,,0.009999999776482582,2157920
China,Singapore,Undirected,2311,,,0.019999999552965164,5414976
China,Slovakia,Undirected,2312,,,0.009999999776482582,1664406
