Id,Label,Ranking
Slovakia,Slovakia,1
Slovenia,Slovenia,63.78000455
SolomonIslands,SolomonIslands,1.148441009
Somalia,Somalia,1
SouthAfrica,SouthAfrica,725.9082725
SouthSudan,SouthSudan,23.72603747
Spain,Spain,1618.357967
SriLanka,SriLanka,223.5319393
StateofPalestine,StateofPalestine,1
Sudan,Sudan,168.8677917
Suriname,Suriname,9.068728958
Swaziland,Swaziland,10.86711245
Sweden,Sweden,474.8058645
Switzerland,Switzerland,483.1356705
SyrianArabRepublic,SyrianArabRepublic,1
TFYRofMacedonia,TFYRofMacedonia,29.09629436
Tajikistan,Tajikistan,24.03336767
Thailand,Thailand,1110.363876
TimorLeste,TimorLeste,5.503275582
Togo,Togo,10.8813779
Tokelau,Tokelau,1
Tonga,Tonga,0.535489704
TrinidadandTobago,TrinidadandTobago,44.22124354
Tunisia,Tunisia,127.2262795
Turkey,Turkey,1595.885961
Turkmenistan,Turkmenistan,88.78039734
TurksandCaicos,TurksandCaicos,1
Tuvalu,Tuvalu,0.036845378
Uganda,Uganda,79.87648979
Ukraine,Ukraine,340.1717984
UnitedArabEmirates,UnitedArabEmirates,643.9900578
UnitedKingdom,UnitedKingdom,2701.975374
TanzaniaUnitedRepublic,TanzaniaUnitedRepublic,138.7318555
UnitedStates,UnitedStates,18036.65
Uruguay,Uruguay,72.89907307
Uzbekistan,Uzbekistan,188.3291833
Vanuatu,Vanuatu,0.686210241
Venezuela,Venezuela,513.9370674
VietNam,VietNam,553.4214124
WallisandFutuna,WallisandFutuna,1
WesternSahara,WesternSahara,1
Yemen,Yemen,75.68832436
Zambia,Zambia,62.45095617
Zimbabwe,Zimbabwe,28.0392307
