ifs,country,PPPGDP,PPPPC
1138,SaintPierreandMiquelon,1,1
364,SaintVincentandGrenadines,1.203066312,10937.36206
862,Samoa,1.001930076,5183.258927
135,SanMarino,1.976765587,62938.28282
716,SaoTomeandPricipe,0.659123497,3250.420389
456,SaudiArabia,1688.633284,53802.49113
722,Senegal,36.76155319,2456.27948
942,Serbia,97.69995693,13699.2253
718,Seychelles,2.45427335,26677.31543
724,SierraLeone,10.06593801,1592.963762
576,Singapore,472.5895498,85382.00163
1139,SintMaarten,1,1
1140,Slovakia,1,1
961,Slovenia,63.78000455,30918.0321
813,SolomonIslands,1.148441009,1954.54578
726,Somalia,1,1
199,SouthAfrica,725.9082725,13208.659
733,SouthSudan,23.72603747,1994.969237
184,Spain,1618.357967,34861.0761
524,SriLanka,223.5319393,10590.23074
1141,StateofPalestine,1,1
732,Sudan,168.8677917,4393.565357
366,Suriname,9.068728958,16253.42581
734,Swaziland,10.86711245,9712.131021
144,Sweden,474.8058645,48198.66461
146,Switzerland,483.1356705,58647.20448
463,SyrianArabRepublic,1,1
962,TFYRofMacedonia,29.09629436,14047.50804
923,Tajikistan,24.03336767,2835.236041
578,Thailand,1110.363876,16130.08552
537,TimorLeste,5.503275582,4714.768302
742,Togo,10.8813779,1488.649294
1142,Tokelau,1,1
866,Tonga,0.535489704,5136.2021
369,TrinidadandTobago,44.22124354,32573.07676
744,Tunisia,127.2262795,11451.42157
186,Turkey,1595.885961,20420.28306
925,Turkmenistan,88.78039734,16477.97805
1143,TurksandCaicos,1,1
869,Tuvalu,0.036845378,3399.949481
746,Uganda,79.87648979,2002.426928
926,Ukraine,340.1717984,7986.959618
466,UnitedArabEmirates,643.9900578,67216.86534
112,UnitedKingdom,2701.975374,41498.62347
738,TanzaniaUnitedRepublic,138.7318555,2909.709764
111,UnitedStates,18036.65,56083.96537
298,Uruguay,72.89907307,21341.31522
927,Uzbekistan,188.3291833,6080.786171
846,Vanuatu,0.686210241,2554.793398
299,Venezuela,513.9370674,16784.13738
582,VietNam,553.4214124,6036.603206
1144,WallisandFutuna,1,1
1145,WesternSahara,1,1
474,Yemen,75.68832436,2676.043392
754,Zambia,62.45095617,3852.143855
698,Zimbabwe,28.0392307,1983.681686
